traj,px,py,pz,vx,vy,vz,ax,ay,az,roll,pitch,yaw
0,-1.93,0.97,0.57,0.26,-0.37,-0.02,1.11,-0.95,-0.07,0.12,-0.13,0.02
0,-1.93,0.97,0.57,0.27,-0.38,-0.02,1.08,-0.93,0.0,0.12,-0.13,0.02
0,-1.92,0.96,0.57,0.29,-0.39,-0.02,1.09,-0.89,0.01,0.12,-0.13,0.02
0,-1.92,0.96,0.57,0.3,-0.4,-0.02,1.1,-0.88,0.02,0.12,-0.13,0.02
0,-1.92,0.96,0.57,0.31,-0.41,-0.02,1.11,-0.86,0.03,0.12,-0.13,0.02
0,-1.92,0.95,0.57,0.33,-0.42,-0.02,1.11,-0.85,-0.03,0.12,-0.13,0.02
0,-1.91,0.95,0.57,0.34,-0.43,-0.02,1.12,-0.84,0.0,0.11,-0.13,0.02
0,-1.91,0.94,0.56,0.35,-0.44,-0.02,1.11,-0.81,-0.02,0.11,-0.14,0.02
0,-1.9,0.94,0.56,0.37,-0.45,-0.02,1.14,-0.78,0.01,0.11,-0.14,0.02
0,-1.9,0.94,0.56,0.38,-0.46,-0.02,1.19,-0.76,0.01,0.11,-0.14,0.02
0,-1.9,0.93,0.56,0.39,-0.47,-0.02,1.18,-0.75,0.03,0.11,-0.14,0.02
0,-1.89,0.93,0.56,0.41,-0.48,-0.02,1.19,-0.74,0.04,0.1,-0.14,0.02
0,-1.89,0.92,0.56,0.42,-0.49,-0.02,1.2,-0.69,0.07,0.1,-0.14,0.02
0,-1.88,0.92,0.56,0.43,-0.5,-0.02,1.19,-0.7,0.1,0.1,-0.14,0.02
0,-1.88,0.92,0.56,0.45,-0.5,-0.02,1.18,-0.66,0.04,0.09,-0.14,0.02
0,-1.88,0.91,0.56,0.46,-0.51,-0.02,1.19,-0.62,0.05,0.09,-0.15,0.02
0,-1.87,0.9,0.56,0.48,-0.52,-0.02,1.27,-0.52,0.09,0.09,-0.15,0.02
0,-1.86,0.9,0.56,0.49,-0.53,-0.02,1.24,-0.52,0.09,0.09,-0.15,0.02
0,-1.86,0.9,0.56,0.51,-0.53,-0.02,1.23,-0.52,0.07,0.08,-0.15,0.02
0,-1.86,0.89,0.56,0.52,-0.54,-0.02,1.27,-0.48,0.1,0.08,-0.15,0.02
0,-1.85,0.89,0.56,0.54,-0.55,-0.02,1.25,-0.46,0.1,0.08,-0.15,0.02
0,-1.84,0.88,0.56,0.55,-0.56,-0.02,1.26,-0.39,0.11,0.07,-0.15,0.02
0,-1.84,0.88,0.56,0.57,-0.56,-0.02,1.23,-0.4,0.08,0.07,-0.15,0.02
0,-1.83,0.87,0.56,0.58,-0.57,-0.02,1.22,-0.34,0.13,0.07,-0.15,0.02
0,-1.83,0.87,0.56,0.6,-0.57,-0.02,1.2,-0.3,0.13,0.06,-0.15,0.02
0,-1.82,0.86,0.56,0.61,-0.58,-0.01,1.21,-0.26,0.13,0.06,-0.15,0.02
0,-1.81,0.86,0.56,0.63,-0.58,-0.01,1.22,-0.2,0.15,0.06,-0.15,0.02
0,-1.81,0.85,0.56,0.64,-0.59,-0.01,1.21,-0.18,0.13,0.05,-0.15,0.03
0,-1.8,0.85,0.56,0.66,-0.59,-0.01,1.19,-0.13,0.17,0.05,-0.15,0.03
0,-1.8,0.84,0.56,0.67,-0.59,-0.01,1.15,-0.07,0.14,0.04,-0.15,0.02
0,-1.79,0.84,0.56,0.69,-0.59,-0.01,1.11,0.01,0.13,0.04,-0.15,0.03
0,-1.78,0.83,0.57,0.7,-0.6,-0.01,1.06,0.01,0.14,0.03,-0.14,0.03
0,-1.77,0.83,0.57,0.71,-0.6,-0.01,1.02,0.03,0.16,0.03,-0.14,0.03
0,-1.77,0.82,0.57,0.73,-0.6,-0.0,1.02,0.09,0.16,0.02,-0.14,0.03
0,-1.76,0.82,0.57,0.74,-0.6,-0.0,0.99,0.16,0.14,0.02,-0.14,0.03
0,-1.76,0.81,0.57,0.76,-0.6,0.0,0.94,0.21,0.16,0.02,-0.14,0.03
0,-1.74,0.8,0.57,0.77,-0.6,0.0,0.93,0.27,0.18,0.01,-0.13,0.03
0,-1.74,0.8,0.57,0.78,-0.6,0.0,0.92,0.28,0.14,0.01,-0.13,0.03
0,-1.73,0.8,0.57,0.8,-0.59,0.01,0.9,0.35,0.17,0.0,-0.13,0.03
0,-1.73,0.79,0.57,0.81,-0.59,0.01,0.85,0.4,0.12,-0.0,-0.13,0.03
0,-1.72,0.79,0.57,0.82,-0.59,0.01,0.79,0.38,0.12,-0.01,-0.12,0.03
0,-1.71,0.78,0.57,0.83,-0.59,0.01,0.76,0.47,0.13,-0.01,-0.12,0.03
0,-1.7,0.78,0.57,0.84,-0.59,0.01,0.71,0.46,0.11,-0.01,-0.11,0.03
0,-1.69,0.77,0.57,0.85,-0.58,0.01,0.66,0.46,0.12,-0.02,-0.11,0.03
0,-1.69,0.77,0.57,0.86,-0.57,0.01,0.64,0.53,0.09,-0.02,-0.11,0.03
0,-1.68,0.76,0.57,0.87,-0.57,0.01,0.56,0.56,0.08,-0.02,-0.1,0.03
0,-1.67,0.76,0.57,0.88,-0.57,0.01,0.54,0.51,0.03,-0.02,-0.1,0.03
0,-1.66,0.75,0.57,0.89,-0.56,0.02,0.52,0.52,0.04,-0.02,-0.1,0.03
0,-1.65,0.75,0.57,0.9,-0.56,0.02,0.5,0.54,0.04,-0.02,-0.1,0.03
0,-1.65,0.74,0.57,0.91,-0.55,0.02,0.42,0.56,0.04,-0.03,-0.09,0.03
0,-1.64,0.74,0.57,0.92,-0.55,0.02,0.42,0.59,0.07,-0.03,-0.09,0.03
0,-1.62,0.73,0.57,0.93,-0.54,0.02,0.34,0.58,0.07,-0.03,-0.09,0.03
0,-1.62,0.73,0.57,0.94,-0.54,0.02,0.28,0.56,0.07,-0.03,-0.08,0.04
0,-1.61,0.73,0.57,0.94,-0.53,0.02,0.27,0.61,0.05,-0.03,-0.08,0.04
0,-1.6,0.72,0.57,0.95,-0.52,0.02,0.25,0.61,0.05,-0.03,-0.07,0.04
0,-1.59,0.72,0.57,0.95,-0.51,0.02,0.2,0.62,0.01,-0.03,-0.07,0.04
0,-1.58,0.71,0.57,0.96,-0.51,0.02,0.19,0.64,-0.02,-0.03,-0.07,0.04
0,-1.57,0.71,0.57,0.96,-0.5,0.02,0.16,0.68,-0.05,-0.03,-0.07,0.04
0,-1.57,0.71,0.57,0.97,-0.49,0.02,0.11,0.66,-0.02,-0.03,-0.06,0.04
0,-1.56,0.7,0.57,0.97,-0.49,0.02,0.04,0.68,-0.03,-0.03,-0.06,0.04
0,-1.55,0.7,0.57,0.98,-0.48,0.02,-0.01,0.63,-0.02,-0.03,-0.06,0.04
0,-1.54,0.69,0.57,0.98,-0.48,0.02,0.0,0.58,-0.04,-0.03,-0.05,0.04
0,-1.53,0.69,0.57,0.98,-0.47,0.02,-0.02,0.55,-0.07,-0.03,-0.05,0.04
0,-1.52,0.69,0.57,0.98,-0.46,0.02,-0.01,0.57,-0.05,-0.03,-0.05,0.04
0,-1.51,0.69,0.57,0.99,-0.46,0.02,-0.0,0.52,-0.06,-0.03,-0.05,0.04
0,-1.51,0.68,0.57,0.99,-0.45,0.02,0.0,0.49,-0.07,-0.02,-0.05,0.04
0,-1.49,0.68,0.57,0.99,-0.44,0.02,-0.0,0.47,-0.08,-0.02,-0.05,0.05
0,-1.48,0.67,0.57,1.0,-0.44,0.02,-0.02,0.46,-0.12,-0.02,-0.05,0.05
0,-1.48,0.67,0.57,1.0,-0.43,0.02,-0.03,0.45,-0.13,-0.01,-0.05,0.05
0,-1.47,0.67,0.58,1.0,-0.43,0.02,-0.06,0.41,-0.08,-0.01,-0.04,0.05
0,-1.45,0.66,0.58,1.0,-0.42,0.02,-0.08,0.4,-0.09,-0.01,-0.04,0.05
0,-1.45,0.66,0.58,1.0,-0.42,0.02,-0.1,0.38,-0.11,-0.01,-0.04,0.05
0,-1.44,0.66,0.58,1.0,-0.41,0.02,-0.13,0.37,-0.1,-0.0,-0.04,0.05
0,-1.43,0.66,0.58,1.0,-0.41,0.02,-0.15,0.33,-0.12,0.0,-0.03,0.05
0,-1.42,0.65,0.58,1.0,-0.4,0.02,-0.18,0.24,-0.08,0.01,-0.03,0.05
0,-1.42,0.65,0.58,1.0,-0.4,0.02,-0.21,0.17,-0.09,0.01,-0.03,0.05
0,-1.4,0.65,0.58,1.01,-0.4,0.01,-0.15,0.1,-0.08,0.02,-0.03,0.05
0,-1.39,0.64,0.58,1.01,-0.4,0.01,-0.14,0.04,-0.1,0.02,-0.03,0.06
0,-1.39,0.64,0.58,1.01,-0.39,0.01,-0.18,-0.0,-0.11,0.02,-0.03,0.06
0,-1.38,0.64,0.58,1.01,-0.39,0.01,-0.23,-0.03,-0.11,0.03,-0.03,0.06
0,-1.37,0.64,0.58,1.01,-0.39,0.01,-0.2,-0.04,-0.16,0.03,-0.03,0.06
0,-1.36,0.63,0.58,1.01,-0.39,0.01,-0.22,-0.07,-0.21,0.04,-0.02,0.06
0,-1.35,0.63,0.58,1.01,-0.39,0.01,-0.27,-0.12,-0.25,0.04,-0.02,0.06
0,-1.34,0.63,0.58,1.0,-0.39,0.01,-0.3,-0.14,-0.2,0.04,-0.02,0.06
0,-1.33,0.62,0.58,1.0,-0.39,0.0,-0.28,-0.15,-0.16,0.05,-0.02,0.06
0,-1.33,0.62,0.58,1.0,-0.39,0.0,-0.28,-0.22,-0.14,0.06,-0.02,0.06
0,-1.31,0.62,0.58,1.0,-0.4,-0.0,-0.27,-0.29,-0.13,0.06,-0.02,0.06
0,-1.3,0.61,0.58,1.0,-0.4,-0.0,-0.26,-0.37,-0.12,0.07,-0.02,0.06
0,-1.3,0.61,0.58,1.0,-0.4,-0.0,-0.26,-0.42,-0.15,0.07,-0.02,0.06
0,-1.29,0.61,0.58,1.0,-0.4,-0.01,-0.26,-0.46,-0.25,0.07,-0.02,0.06
0,-1.28,0.61,0.58,1.0,-0.41,-0.01,-0.25,-0.46,-0.24,0.08,-0.02,0.06
0,-1.27,0.6,0.58,1.0,-0.41,-0.01,-0.31,-0.48,-0.21,0.08,-0.02,0.06
0,-1.26,0.6,0.58,1.0,-0.42,-0.01,-0.31,-0.5,-0.17,0.09,-0.02,0.06
0,-1.25,0.6,0.58,0.99,-0.42,-0.02,-0.31,-0.57,-0.14,0.09,-0.02,0.06
0,-1.25,0.59,0.58,0.99,-0.43,-0.02,-0.3,-0.64,-0.07,0.1,-0.02,0.06
0,-1.24,0.59,0.58,0.99,-0.43,-0.02,-0.22,-0.7,-0.02,0.1,-0.02,0.06
0,-1.22,0.58,0.58,0.99,-0.44,-0.02,-0.24,-0.73,-0.05,0.11,-0.02,0.06
0,-1.22,0.58,0.58,0.99,-0.45,-0.02,-0.21,-0.79,-0.04,0.11,-0.02,0.06
0,-1.21,0.58,0.58,0.99,-0.45,-0.02,-0.2,-0.91,-0.06,0.12,-0.02,0.06
0,-1.2,0.57,0.57,0.99,-0.46,-0.02,-0.17,-0.94,-0.07,0.13,-0.03,0.06
0,-1.2,0.57,0.57,0.99,-0.47,-0.02,-0.17,-0.92,-0.1,0.13,-0.03,0.06
0,-1.18,0.57,0.57,0.99,-0.48,-0.02,-0.19,-0.95,-0.14,0.14,-0.03,0.06
0,-1.17,0.56,0.57,0.99,-0.49,-0.03,-0.19,-1.0,-0.15,0.14,-0.03,0.06
0,-1.17,0.56,0.57,0.99,-0.5,-0.03,-0.14,-1.06,-0.1,0.14,-0.03,0.06
0,-1.16,0.55,0.57,0.99,-0.51,-0.03,-0.13,-1.06,-0.05,0.15,-0.03,0.06
0,-1.15,0.55,0.57,0.99,-0.52,-0.03,-0.11,-1.12,-0.04,0.15,-0.04,0.06
0,-1.14,0.54,0.57,0.99,-0.53,-0.03,-0.06,-1.17,-0.04,0.16,-0.04,0.06
0,-1.13,0.54,0.57,0.99,-0.55,-0.03,-0.03,-1.2,-0.06,0.16,-0.04,0.06
0,-1.12,0.54,0.57,0.99,-0.56,-0.04,-0.02,-1.28,-0.04,0.16,-0.04,0.06
0,-1.12,0.53,0.57,0.99,-0.57,-0.04,-0.0,-1.29,-0.06,0.17,-0.04,0.06
0,-1.11,0.53,0.57,0.99,-0.58,-0.04,-0.01,-1.29,-0.0,0.17,-0.04,0.06
0,-1.09,0.52,0.57,1.0,-0.6,-0.04,0.02,-1.28,0.05,0.17,-0.05,0.06
0,-1.09,0.52,0.57,1.0,-0.61,-0.04,0.05,-1.29,0.04,0.17,-0.05,0.06
0,-1.08,0.51,0.57,1.0,-0.62,-0.04,0.04,-1.33,0.01,0.17,-0.05,0.06
0,-1.07,0.51,0.57,1.0,-0.64,-0.04,0.07,-1.31,-0.01,0.17,-0.05,0.06
0,-1.06,0.5,0.57,1.01,-0.65,-0.04,0.08,-1.3,-0.04,0.17,-0.05,0.06
0,-1.05,0.49,0.57,1.01,-0.67,-0.04,0.06,-1.31,-0.03,0.17,-0.05,0.06
0,-1.04,0.49,0.57,1.01,-0.68,-0.05,0.06,-1.33,-0.09,0.18,-0.05,0.06
0,-1.03,0.48,0.57,1.01,-0.69,-0.05,0.03,-1.32,-0.07,0.18,-0.05,0.06
0,-1.03,0.48,0.57,1.01,-0.7,-0.05,0.03,-1.3,-0.09,0.18,-0.05,0.06
0,-1.02,0.47,0.57,1.02,-0.72,-0.05,0.06,-1.31,-0.07,0.18,-0.05,0.06
0,-1.0,0.46,0.57,1.02,-0.73,-0.05,0.07,-1.33,-0.02,0.18,-0.05,0.06
0,-1.0,0.46,0.57,1.02,-0.75,-0.05,0.06,-1.29,-0.0,0.17,-0.05,0.06
0,-0.99,0.45,0.57,1.02,-0.76,-0.05,0.06,-1.28,0.04,0.17,-0.05,0.06
0,-0.98,0.45,0.57,1.03,-0.77,-0.05,0.06,-1.23,0.05,0.17,-0.05,0.06
0,-0.97,0.44,0.57,1.03,-0.79,-0.06,0.07,-1.22,0.09,0.17,-0.05,0.06
0,-0.96,0.43,0.57,1.03,-0.8,-0.06,0.07,-1.21,0.15,0.16,-0.05,0.07
0,-0.95,0.42,0.57,1.03,-0.81,-0.05,0.08,-1.17,0.14,0.16,-0.05,0.07
0,-0.94,0.42,0.57,1.04,-0.83,-0.05,0.12,-1.1,0.16,0.15,-0.06,0.07
0,-0.94,0.41,0.57,1.04,-0.84,-0.05,0.1,-1.06,0.19,0.15,-0.06,0.07
0,-0.93,0.4,0.57,1.04,-0.85,-0.05,0.11,-1.01,0.18,0.15,-0.05,0.07
0,-0.91,0.39,0.57,1.05,-0.87,-0.05,0.09,-0.94,0.19,0.14,-0.05,0.07
0,-0.91,0.39,0.57,1.05,-0.88,-0.05,0.05,-0.91,0.22,0.14,-0.05,0.07
0,-0.9,0.38,0.57,1.05,-0.88,-0.05,0.04,-0.87,0.22,0.13,-0.05,0.07
0,-0.89,0.37,0.57,1.05,-0.89,-0.04,0.07,-0.81,0.25,0.13,-0.05,0.07
0,-0.88,0.37,0.57,1.06,-0.9,-0.04,0.1,-0.74,0.25,0.12,-0.05,0.07
0,-0.87,0.35,0.57,1.06,-0.91,-0.04,0.07,-0.72,0.24,0.12,-0.05,0.07
0,-0.86,0.35,0.57,1.06,-0.92,-0.04,0.03,-0.69,0.24,0.12,-0.05,0.07
0,-0.85,0.34,0.57,1.06,-0.93,-0.03,0.05,-0.65,0.25,0.11,-0.05,0.07
